age,sex,educ,income,eastwest
49,Male,2,2500,West
65,Male,2,880,East
76,Male,1,950,East
63,Male,2,1050,East
71,Male,3,460,West
66,Female,4,2000,West
48,Male,4,4000,West
88,Male,4,3000,West
31,Male,2,2500,East
69,Female,4,2650,West
58,Male,1,1100,West
25,Male,2,1500,West
83,Male,1,1050,West
82,Female,4,1600,East
47,Female,2,1000,East
62,Female,2,688,West
66,Female,2,1400,West
38,Male,3,2875,West
33,Female,4,2000,East
33,Female,2,2060,East
57,Female,2,1600,East
26,Male,4,1600,West
62,Male,2,1625,East
38,Female,1,450,West
57,Male,2,1900,West
36,Female,1,1600,West
60,Male,4,4300,West
48,Female,2,1200,East
56,Male,2,640,East
28,Male,2,2000,West
72,Male,1,820,West
53,Female,2,1800,West
76,Female,1,1800,East
58,Male,2,3500,West
66,Male,1,3000,West
29,Male,1,1600,West
72,Male,3,1500,East
65,Female,4,1500,East
28,Male,4,700,East
48,Male,2,1200,East
35,Female,4,1900,East
73,Male,2,850,East
81,Male,1,1221,East
37,Male,3,4200,West
76,Male,4,1063,East
41,Female,2,625,West
74,Male,1,1800,West
44,Female,4,1063,West
48,Female,1,700,West
82,Female,1,1100,East
73,Female,1,291,West
75,Female,1,1200,East
53,Female,2,1200,East
30,Female,4,2080,East
31,Female,4,1600,West
65,Male,2,2625,West
48,Male,2,3000,West
54,Male,2,2875,West
34,Female,4,1500,East
53,Female,1,1000,West
53,Female,3,1200,East
83,Female,1,1400,West
82,Male,2,1600,West
78,Female,1,1500,West
59,Female,2,2200,West
39,Male,4,1200,West
32,Female,1,700,West
32,Female,4,3200,West
53,Male,1,1500,West
65,Male,1,1800,West
29,Female,2,1100,East
59,Female,2,1300,East
61,Male,1,830,West
56,Female,1,2500,West
81,Male,1,1313,East
56,Female,2,730,West
20,Female,4,400,West
26,Female,4,450,West
56,Female,4,2500,West
84,Female,2,1397,East
59,Male,4,2500,West
26,Female,3,400,West
38,Male,2,3500,West
46,Male,4,4000,West
33,Male,4,6250,East
74,Female,1,1200,East
79,Male,4,1600,East
57,Female,1,1200,West
65,Female,2,1100,East
79,Female,1,980,East
44,Male,2,4500,West
21,Female,4,550,West
49,Male,4,4000,West
42,Male,3,4800,West
43,Female,1,900,West
20,Female,2,380,West
54,Female,2,1100,West
67,Male,1,1200,West
19,Male,2,600,West
46,Male,2,1800,East
22,Male,4,600,East
47,Female,2,1000,East
30,Female,4,1313,West
20,Male,4,450,East
75,Male,2,2300,West
42,Male,4,2875,West
49,Female,4,1700,West
75,Male,4,1300,East
68,Male,4,3000,West
28,Male,4,2800,East
77,Female,1,440,West
52,Female,4,1313,West
35,Male,3,1500,East
65,Female,2,1300,East
78,Male,1,1950,East
21,Female,4,800,West
44,Female,1,450,East
22,Female,4,1200,West
34,Female,2,1063,West
46,Female,2,800,West
78,Male,1,3000,West
